Order_ID,Customer_ID,Product_ID,Order_Date,Region,Category,Sales_Channel,Sales_Representative,Quantity,Net_Sales,Profit
ORD-0001,CUST-002,P-002,2026-08-25,South,Home,Retail,Rep_2,5,287,58.74
ORD-0002,CUST-003,P-003,2026-08-26,East,Apparel,Distributor,Rep_3,6,324,62.48
ORD-0003,CUST-004,P-004,2026-08-27,West,Electronics,Online,Rep_4,7,361,66.22
ORD-0004,CUST-005,P-005,2026-08-28,North,Home,Retail,Rep_5,8,398,69.96
ORD-0005,CUST-006,P-006,2026-08-29,South,Apparel,Distributor,Rep_6,9,335,73.7
ORD-0006,CUST-007,P-007,2026-08-30,East,Electronics,Online,Rep_1,10,372,77.44
ORD-0007,CUST-008,P-008,2026-08-31,West,Home,Retail,Rep_2,4,409,81.18
ORD-0008,CUST-009,P-009,2026-09-01,North,Apparel,Distributor,Rep_3,5,446,84.92
ORD-0009,CUST-010,P-010,2026-09-02,South,Electronics,Online,Rep_4,6,483,88.66
ORD-0010,CUST-011,P-011,2026-09-03,East,Home,Retail,Rep_5,7,420,92.4
ORD-0011,CUST-012,P-012,2026-09-04,West,Apparel,Distributor,Rep_6,8,457,96.14
ORD-0012,CUST-013,P-013,2026-09-05,North,Electronics,Online,Rep_1,9,494,99.88
ORD-0013,CUST-014,P-014,2026-09-06,South,Home,Retail,Rep_2,10,531,103.62
ORD-0014,CUST-015,P-015,2026-09-07,East,Apparel,Distributor,Rep_3,4,568,107.36
ORD-0015,CUST-016,P-016,2026-09-08,West,Electronics,Online,Rep_4,5,505,111.1
ORD-0016,CUST-017,P-017,2026-09-09,North,Home,Retail,Rep_5,6,542,114.84
ORD-0017,CUST-018,P-018,2026-09-10,South,Apparel,Distributor,Rep_6,7,579,118.58
ORD-0018,CUST-019,P-019,2026-09-11,East,Electronics,Online,Rep_1,8,616,122.32
ORD-0019,CUST-020,P-020,2026-09-12,West,Home,Retail,Rep_2,9,653,126.06
ORD-0020,CUST-021,P-001,2026-09-13,North,Apparel,Distributor,Rep_3,10,590,129.8
ORD-0021,CUST-022,P-002,2026-09-14,South,Electronics,Online,Rep_4,4,627,133.54
ORD-0022,CUST-023,P-003,2026-09-15,East,Home,Retail,Rep_5,5,664,137.28
ORD-0023,CUST-024,P-004,2026-09-16,West,Apparel,Distributor,Rep_6,6,701,141.02
ORD-0024,CUST-025,P-005,2026-09-17,North,Electronics,Online,Rep_1,7,738,144.76
ORD-0025,CUST-001,P-006,2026-09-18,South,Home,Retail,Rep_2,8,675,148.5
ORD-0026,CUST-002,P-007,2026-09-19,East,Apparel,Distributor,Rep_3,9,712,152.24
ORD-0027,CUST-003,P-008,2026-09-20,West,Electronics,Online,Rep_4,10,749,155.98
ORD-0028,CUST-004,P-009,2026-09-21,North,Home,Retail,Rep_5,4,786,159.72
ORD-0029,CUST-005,P-010,2026-09-22,South,Apparel,Distributor,Rep_6,5,823,163.46
ORD-0030,CUST-006,P-011,2026-09-23,East,Electronics,Online,Rep_1,6,760,167.2
